"","query_id","estimate","p.value"
"1","USP54-201",0.486108923405294,0.00750378000183657
"2","Kat5-201",0.459600810188173,0.0138728577960196
"3","ATF2-201",0.403015925736773,0.0245770421905009
"4","FMR1-201",0.394282240272884,0.0310826217382314
"5","PPP1R3G-201",0.363469314482593,0.0444436077163445
"6","RNF8-202",-0.353903681370662,0.0469035709627501
"7","Prmt2-203",-0.3754826728353,0.0341982652497848
"8","PUS10-201",-0.384332027444973,0.029870716679936
"9","PUS3-201",-0.388439640133184,0.0338991034938445
"10","PUSL1-201",-0.388439640133184,0.0338991034938445
"11","TRMT10A-202",-0.405783379686212,0.0260926050066552
"12","Mbd4-201",-0.425218912780937,0.0152617481864968
"13","Setmar-201",-0.47872977216609,0.00557475395408167
