"","query_id","estimate","p.value"
"1","PRKDC-201",0.934393635131851,0.00631510136935412
"2","Dnmt1-201",0.931535879162143,0.0212822427372339
"3","DBF4-201",0.816696235223554,0.0473208772609666
"4","HIRA-201",-0.677303967672373,0.0155311907871398
"5","DDB1-201",-0.828997822045298,0.0413624162683003
"6","TOM1-209",-0.82953232194836,0.0411120142214879
"7","ZC3H12D-201",-0.840794645492827,0.0360018804427003
"8","Mecom-PRDM3-212",-0.845549101298028,0.0339404008839833
"9","Zbtb38-201",-0.845549101298028,0.0339404008839833
"10","Kmt8-Prdm2-201",-0.848665433706041,0.0326202828920554
"11","PRDM7-202",-0.848665433706041,0.0326202828920554
"12","Prdm6-201",-0.848665433706041,0.0326202828920554
"13","NOP2-201",-0.853437369014171,0.0306467802247958
"14","EIF3F-209",-0.883562752846317,0.0195471420825415
"15","USP14-201",-0.923172811600795,0.00862689226926783
"16","ATF2-201",-0.92746661316582,0.00770083589039437
