"","fragment_ID","Host_AFDW.mg.cm2","Sym_AFDW.mg.cm2","treatment","Rd","P","PC1"
"1","ACR12_5",1.96959178862449,1.19883694676855,"ambient",-0.507025599796379,0.504280457796741,0.377478446217516
"2","ACR16_5",1.45414364501395,0.520993796741182,"hot",-0.415393537489032,0.329974753258406,-1.83164745405008
"3","ACR20_5",1.28088108584699,0.199490415923403,"hot",-0.683391019203868,0.429846312214806,-1.14438257841659
"4","ACR24_5",0.969561472238931,0.729888164352136,"hot",-0.452576756664194,0.497522455396553,-0.950610822909497
"5","ACR5_5",2.13746339304142,0.870693749606372,"ambient",-0.678439470931645,0.600982114784955,1.03937547453883
"6","ACR8_5",3.40461042056695,1.5932438736915,"ambient",-0.586796550119638,0.613654329072158,2.50978693461982
