date_collection,coral_species,treatment,tag_color,fragment_ID,colony_ID,genotype,site,timepoint,tank_num,notes
20220319,Acropora,ambient,blue,ACR10_4,ACR10,10,Mahana,TP4,5,
20220319,Acropora,ambient,blue,ACR11_4,ACR11,11,Mahana,TP4,1,
20220319,Acropora,ambient,blue,ACR12_4,ACR12,12,Mahana,TP4,11,
20220319,Acropora,hot,red,ACR13_5,ACR13,1,Mahana,TP5,10,
20220319,Acropora,hot,red,ACR14_5,ACR14,2,Mahana,TP5,8,
20220319,Acropora,hot,red,ACR15_5,ACR15,3,Mahana,TP5,20,
20220319,Acropora,hot,red,ACR16_5,ACR16,4,Mahana,TP5,18,
20220319,Acropora,hot,red,ACR17_5,ACR17,5,Mahana,TP5,4,
20220319,Acropora,hot,red,ACR18_5,ACR18,6,Mahana,TP5,22,
20220319,Acropora,hot,red,ACR19_5,ACR19,7,Mahana,TP5,16,
20220319,Acropora,hot,red,ACR20_5,ACR20,8,Mahana,TP5,2,
20220319,Acropora,hot,red,ACR21_5,ACR21,9,Mahana,TP5,15,
20220319,Acropora,hot,red,ACR22_5,ACR22,10,Mahana,TP5,12,
20220319,Acropora,hot,red,ACR23_5,ACR23,11,Mahana,TP5,23,
20220319,Acropora,hot,red,ACR24_5,ACR24,12,Mahana,TP5,6,
20220319,Acropora,ambient,blue,ACR1_5,ACR1,1,Mahana,TP5,17,
20220319,Acropora,ambient,blue,ACR2_5,ACR2,2,Mahana,TP5,14,
20220319,Acropora,ambient,blue,ACR3_5,ACR3,3,Mahana,TP5,7,
20220319,Acropora,ambient,blue,ACR4_5,ACR4,4,Mahana,TP5,24,
20220319,Acropora,ambient,blue,ACR5_5,ACR5,5,Mahana,TP5,13,
20220319,Acropora,ambient,blue,ACR6_5,ACR6,6,Mahana,TP5,9,
20220319,Acropora,ambient,blue,ACR7_5,ACR7,7,Mahana,TP5,3,
20220319,Acropora,ambient,blue,ACR8_5,ACR8,8,Mahana,TP5,19,
20220319,Acropora,ambient,blue,ACR9_5,ACR9,9,Mahana,TP5,21,
20220319,Acropora,ambient,blue,ACR10_5,ACR10,10,Mahana,TP5,5,
20220319,Acropora,ambient,blue,ACR11_5,ACR11,11,Mahana,TP5,1,
20220319,Acropora,ambient,blue,ACR12_5,ACR12,12,Mahana,TP5,11,
