date_collection,coral_species,treatment,tag_color,fragment_ID,colony_ID,genotype,site,timepoint,tank_num,notes
20220319,Acropora,initial,blue,ACR1_1,ACR1,1,Mahana,TP1,17,
20220319,Acropora,initial,blue,ACR2_1,ACR2,2,Mahana,TP1,14,
20220319,Acropora,initial,blue,ACR3_1,ACR3,3,Mahana,TP1,7,
20220319,Acropora,initial,blue,ACR4_1,ACR4,4,Mahana,TP1,24,
20220319,Acropora,initial,blue,ACR5_1,ACR5,5,Mahana,TP1,13,
20220319,Acropora,initial,blue,ACR6_1,ACR6,6,Mahana,TP1,9,
20220319,Acropora,initial,blue,ACR7_1,ACR7,7,Mahana,TP1,3,
20220319,Acropora,initial,blue,ACR8_1,ACR8,8,Mahana,TP1,19,
20220319,Acropora,initial,blue,ACR9_1,ACR9,9,Mahana,TP1,21,
20220319,Acropora,initial,blue,ACR10_1,ACR10,10,Mahana,TP1,5,
20220319,Acropora,initial,blue,ACR11_1,ACR11,11,Mahana,TP1,1,
20220319,Acropora,initial,blue,ACR12_1,ACR12,12,Mahana,TP1,11,
20220319,Acropora,initial,red,ACR13_1,ACR13,1,Mahana,TP1,10,
20220319,Acropora,initial,red,ACR14_1,ACR14,2,Mahana,TP1,8,
20220319,Acropora,initial,red,ACR15_1,ACR15,3,Mahana,TP1,20,
20220319,Acropora,initial,red,ACR16_1,ACR16,4,Mahana,TP1,18,
20220319,Acropora,initial,red,ACR17_1,ACR17,5,Mahana,TP1,4,
20220319,Acropora,initial,red,ACR18_1,ACR18,6,Mahana,TP1,22,
20220319,Acropora,initial,red,ACR19_1,ACR19,7,Mahana,TP1,16,
20220319,Acropora,initial,red,ACR20_1,ACR20,8,Mahana,TP1,2,
20220319,Acropora,initial,red,ACR21_1,ACR21,9,Mahana,TP1,15,
20220319,Acropora,initial,red,ACR22_1,ACR22,10,Mahana,TP1,12,
20220319,Acropora,initial,red,ACR23_1,ACR23,11,Mahana,TP1,23,
20220319,Acropora,initial,red,ACR24_1,ACR24,12,Mahana,TP1,6,
20220319,Acropora,hot,red,ACR13_2,ACR13,1,Mahana,TP2,10,
20220319,Acropora,hot,red,ACR14_2,ACR14,2,Mahana,TP2,8,
20220319,Acropora,hot,red,ACR15_2,ACR15,3,Mahana,TP2,20,
20220319,Acropora,hot,red,ACR16_2,ACR16,4,Mahana,TP2,18,
20220319,Acropora,hot,red,ACR17_2,ACR17,5,Mahana,TP2,4,
20220319,Acropora,hot,red,ACR18_2,ACR18,6,Mahana,TP2,22,
20220319,Acropora,hot,red,ACR19_2,ACR19,7,Mahana,TP2,16,
20220319,Acropora,hot,red,ACR20_2,ACR20,8,Mahana,TP2,2,
20220319,Acropora,hot,red,ACR21_2,ACR21,9,Mahana,TP2,15,
20220319,Acropora,hot,red,ACR22_2,ACR22,10,Mahana,TP2,12,
20220319,Acropora,hot,red,ACR23_2,ACR23,11,Mahana,TP2,23,
20220319,Acropora,hot,red,ACR24_2,ACR24,12,Mahana,TP2,6,
20220319,Acropora,ambient,blue,ACR1_2,ACR1,1,Mahana,TP2,17,
20220319,Acropora,ambient,blue,ACR2_2,ACR2,2,Mahana,TP2,14,
20220319,Acropora,ambient,blue,ACR3_2,ACR3,3,Mahana,TP2,7,
20220319,Acropora,ambient,blue,ACR4_2,ACR4,4,Mahana,TP2,24,
20220319,Acropora,ambient,blue,ACR5_2,ACR5,5,Mahana,TP2,13,
20220319,Acropora,ambient,blue,ACR6_2,ACR6,6,Mahana,TP2,9,
20220319,Acropora,ambient,blue,ACR7_2,ACR7,7,Mahana,TP2,3,
20220319,Acropora,ambient,blue,ACR8_2,ACR8,8,Mahana,TP2,19,
20220319,Acropora,ambient,blue,ACR9_2,ACR9,9,Mahana,TP2,21,
20220319,Acropora,ambient,blue,ACR10_2,ACR10,10,Mahana,TP2,5,
20220319,Acropora,ambient,blue,ACR11_2,ACR11,11,Mahana,TP2,1,
20220319,Acropora,ambient,blue,ACR12_2,ACR12,12,Mahana,TP2,11,
20220319,Acropora,hot,red,ACR13_3,ACR13,1,Mahana,TP3,10,
20220319,Acropora,hot,red,ACR14_3,ACR14,2,Mahana,TP3,8,
20220319,Acropora,hot,red,ACR15_3,ACR15,3,Mahana,TP3,20,
20220319,Acropora,hot,red,ACR16_3,ACR16,4,Mahana,TP3,18,
20220319,Acropora,hot,red,ACR17_3,ACR17,5,Mahana,TP3,4,
20220319,Acropora,hot,red,ACR18_3,ACR18,6,Mahana,TP3,22,
20220319,Acropora,hot,red,ACR19_3,ACR19,7,Mahana,TP3,16,
20220319,Acropora,hot,red,ACR20_3,ACR20,8,Mahana,TP3,2,
20220319,Acropora,hot,red,ACR21_3,ACR21,9,Mahana,TP3,15,
20220319,Acropora,hot,red,ACR22_3,ACR22,10,Mahana,TP3,12,
20220319,Acropora,hot,red,ACR23_3,ACR23,11,Mahana,TP3,23,
20220319,Acropora,hot,red,ACR24_3,ACR24,12,Mahana,TP3,6,
20220319,Acropora,ambient,blue,ACR1_3,ACR1,1,Mahana,TP3,17,
20220319,Acropora,ambient,blue,ACR2_3,ACR2,2,Mahana,TP3,14,
20220319,Acropora,ambient,blue,ACR3_3,ACR3,3,Mahana,TP3,7,
20220319,Acropora,ambient,blue,ACR4_3,ACR4,4,Mahana,TP3,24,
20220319,Acropora,ambient,blue,ACR5_3,ACR5,5,Mahana,TP3,13,
20220319,Acropora,ambient,blue,ACR6_3,ACR6,6,Mahana,TP3,9,
20220319,Acropora,ambient,blue,ACR7_3,ACR7,7,Mahana,TP3,3,
20220319,Acropora,ambient,blue,ACR8_3,ACR8,8,Mahana,TP3,19,
20220319,Acropora,ambient,blue,ACR9_3,ACR9,9,Mahana,TP3,21,
20220319,Acropora,ambient,blue,ACR10_3,ACR10,10,Mahana,TP3,5,
20220319,Acropora,ambient,blue,ACR11_3,ACR11,11,Mahana,TP3,1,
20220319,Acropora,ambient,blue,ACR12_3,ACR12,12,Mahana,TP3,11,
20220319,Acropora,hot,red,ACR13_4,ACR13,1,Mahana,TP4,10,
20220319,Acropora,hot,red,ACR14_4,ACR14,2,Mahana,TP4,8,
20220319,Acropora,hot,red,ACR15_4,ACR15,3,Mahana,TP4,20,
20220319,Acropora,hot,red,ACR16_4,ACR16,4,Mahana,TP4,18,
20220319,Acropora,hot,red,ACR17_4,ACR17,5,Mahana,TP4,4,
20220319,Acropora,hot,red,ACR18_4,ACR18,6,Mahana,TP4,22,
20220319,Acropora,hot,red,ACR19_4,ACR19,7,Mahana,TP4,16,
20220319,Acropora,hot,red,ACR20_4,ACR20,8,Mahana,TP4,2,
20220319,Acropora,hot,red,ACR21_4,ACR21,9,Mahana,TP4,15,
20220319,Acropora,hot,red,ACR22_4,ACR22,10,Mahana,TP4,12,
20220319,Acropora,hot,red,ACR23_4,ACR23,11,Mahana,TP4,23,
20220319,Acropora,hot,red,ACR24_4,ACR24,12,Mahana,TP4,6,
20220319,Acropora,ambient,blue,ACR1_4,ACR1,1,Mahana,TP4,17,
20220319,Acropora,ambient,blue,ACR2_4,ACR2,2,Mahana,TP4,14,
20220319,Acropora,ambient,blue,ACR3_4,ACR3,3,Mahana,TP4,7,
20220319,Acropora,ambient,blue,ACR4_4,ACR4,4,Mahana,TP4,24,
20220319,Acropora,ambient,blue,ACR5_4,ACR5,5,Mahana,TP4,13,
20220319,Acropora,ambient,blue,ACR6_4,ACR6,6,Mahana,TP4,9,
20220319,Acropora,ambient,blue,ACR7_4,ACR7,7,Mahana,TP4,3,
20220319,Acropora,ambient,blue,ACR8_4,ACR8,8,Mahana,TP4,19,
20220319,Acropora,ambient,blue,ACR9_4,ACR9,9,Mahana,TP4,21,
