fragment.ID,treatment,vol.blastate,subsmaple.ID,dilution.factor,count 1,count 2,count 3,count 4,count 5,count 6,avg cells,CV,total.zoox,squares.counted,cells.ml,cells.ml.volume,750,663,630,A663,A630,PL,chlA.ug.sample,chlA.ugcm2,chlA.pg.cell,SA,zoox/cm2,zoox.per.cm2
PV_1,enriched,27.5,zoox,0,160,155,165,166,167,166,163.1666667,2.885484554,979,0.1,1631666.667,44870833.33,0.501,0.642,0.628,0.140,0.127,1,1.522943333,1.289085072,0.003394061,54.1,828667.9207,0.828667921
PV_2,enriched,50,zoox,0,120,122,118,110,123,130,120.5,5.448181763,723,0.1,1205000,60250000,0.293,0.451,0.383,0.158,0.090,1,1.748553333,1.973041625,0.002902163,73.9,815822.4674,0.815822467
PV_3,enriched,50,zoox,0,150,155,153,153,152,141,150.6666667,3.323005904,904,0.1,1506666.667,75333333.33,0.124,0.247,0.167,0.124,0.044,1,1.385563333,1.363743438,0.001839243,84.7,889763.7795,0.88976378
PV_4,enriched,37.5,zoox,0,130,133,134,133,129,130,131.5,1.576915692,789,0.1,1315000,49312500,0.528,0.723,0.719,0.195,0.191,1,2.103013333,2.487501168,0.004264666,52.8,933250.5841,0.933250584
PV_5,enriched,50,zoox,0,166,161,163,163,170,175,166.3333333,3.173680624,998,0.1,1663333.333,83166666.67,0.353,0.451,0.426,0.098,0.073,1,1.073633333,1.297819663,0.001290942,68.9,1206393.266,1.206393266
PV_6,enriched,47.5,zoox,0,120,122,122,115,135,133,124.5,6.27843285,747,0.1,1245000,59137500,0.354,0.396,0.392,0.042,0.037,1,0.456166667,0.559733783,0.000771366,64.5,916597.302,0.916597302
PV_7,enriched,40,zoox,0,166,167,165,165,151,155,161.5,4.176698936,969,0.1,1615000,64600000,0.204,0.276,0.262,0.072,0.058,1,0.782243333,0.777062914,0.001210903,67.1,962582.7815,0.962582781
PV_8,enriched,40,zoox,0,129,130,130,138,140,135,133.6666667,3.498389609,802,0.1,1336666.667,53466666.67,0.125,0.164,0.158,0.038,0.033,1,0.417243333,0.344302262,0.00078038,80.8,661797.066,0.661797066
PV_9,enriched,37.5,zoox,0,180,180,199,196,196,189,190,4.428565046,1140,0.1,1900000,71250000,0.112,0.280,0.167,0.168,0.054,1,1.881656667,2.693972533,0.002640922,43.7,1632140.837,1.632140837
PV_10,enriched,40,zoox,0,150,156,151,156,160,161,155.6666667,2.891981673,934,0.1,1556666.667,62266666.67,0.163,0.365,0.243,0.201,0.079,1,2.250466667,2.162370107,0.00361424,69.4,897437.7224,0.897437722
PV_11,enriched,35,zoox,0,101,115,108,109,116,104,108.8333333,5.433318773,653,0.1,1088333.333,38091666.67,0.333,0.469,0.431,0.136,0.098,1,1.495356667,1.48062872,0.003925679,58.9,646568.5247,0.646568525
PV_12,enriched,32.5,zoox,0,100,113,120,106,118,108,110.8333333,6.857538572,665,0.1,1108333.333,36020833.33,0.151,0.324,0.223,0.173,0.072,1,1.927713333,1.798010682,0.005351662,58.1,620256.6964,0.620256696
PV_13,enriched,42.5,zoox,0,110,106,105,112,115,113,110.1666667,3.604290058,661,0.1,1101666.667,46820833.33,0.325,0.497,0.446,0.172,0.121,1,1.888733333,2.121497161,0.004033959,63.1,742460.3563,0.742460356
PV_14,enriched,37.5,zoox,0,120,113,101,107,110,118,111.5,6.335419915,669,0.1,1115000,41812500,0.247,0.372,0.332,0.125,0.085,1,1.377946667,1.131342037,0.003295538,76.1,549272.2186,0.549272219
PV_15,enriched,40,zoox,0,101,108,110,107,115,117,109.6666667,5.275110796,658,0.1,1096666.667,43866666.67,0.187,0.250,0.219,0.063,0.032,1,0.699823333,0.571370729,0.001595342,81.7,537224.0702,0.53722407
PV_16,enriched,42.5,zoox,0,130,133,134,141,129,132,133.1666667,3.200678812,799,0.1,1331666.667,56595833.33,0.274,0.488,0.378,0.214,0.105,1,2.379033333,2.710425685,0.004203549,62.2,910298.3519,0.910298352
PV_17,control,40,zoox,0,101,100,106,109,110,107,105.5,3.919634716,633,0.1,1055000,42200000,0.240,0.311,0.305,0.070,0.064,1,0.762736667,0.558705643,0.001807433,91.0,463673.3587,0.463673359
PV_18,control,40,zoox,0,110,113,109,101,100,105,106.3333333,4.892692919,638,0.1,1063333.333,42533333.33,0.097,0.219,0.138,0.122,0.041,1,1.36441,1.070591979,0.003207861,85.0,500610.2877,0.500610288
PV_19,control,40,zoox,0,106,107,107,110,117,100,107.8333333,5.16052872,647,0.1,1078333.333,43133333.33,0.225,0.383,0.306,0.158,0.082,1,1.757483333,1.828595376,0.004074536,64.1,673179.1908,0.673179191
PV_20,control,32.5,zoox,0,106,105,111,104,106,119,108.5,5.238072715,651,0.1,1085000,35262500,0.208,0.299,0.265,0.091,0.057,1,1.00365,1.034174348,0.002846225,52.6,670799.0841,0.670799084
PV_21,control,30,zoox,0,120,118,112,101,100,115,111,7.728868681,666,0.1,1110000,33300000,0.271,0.430,0.365,0.159,0.094,1,1.756996667,1.661026261,0.005276266,52.9,629621.8487,0.629621849
PV_22,control,45,zoox,0,115,101,103,106,105,103,105.5,4.71081465,633,0.1,1055000,47475000,0.132,0.298,0.189,0.166,0.057,1,1.8609,1.751621862,0.003919747,79.7,595828.1686,0.595828169
PV_23,control,30,zoox,0,102,117,130,131,120,121,120.1666667,8.766217784,721,0.1,1201666.667,36050000,0.151,0.288,0.207,0.137,0.055,1,1.526686667,1.131603404,0.004234914,67.5,534416.1786,0.534416179
PV_24,control,30,zoox,0,116,112,108,101,100,118,109.1666667,6.913856389,655,0.1,1091666.667,32750000,0.384,0.581,0.509,0.197,0.125,1,2.175306667,1.911890625,0.006642158,56.9,575683.5938,0.575683594
PV_25,control,22.5,zoox,0,112,101,108,111,110,106,108,3.74971421,648,0.1,1080000,24300000,0.273,0.477,0.376,0.204,0.103,1,2.2658,1.462466532,0.00932428,58.1,418253.2937,0.418253294
PV_26,control,25,zoox,0,107,119,120,125,122,111,117.3333333,5.871823038,704,0.1,1173333.333,29333333.33,0.216,0.287,0.279,0.071,0.063,1,0.771423333,0.760828098,0.002629852,42.2,694330.8007,0.694330801
PV_27,control,25,zoox,0,100,106,111,103,105,100,104.1666667,4.000639949,625,0.1,1041666.667,26041666.67,0.139,0.182,0.165,0.043,0.026,1,0.47485,0.489498702,0.001823424,40.4,644280.6964,0.644280696
PV_28,control,20,zoox,0,120,126,123,120,124,130,123.8333333,3.08207021,743,0.1,1238333.333,24766666.67,0.179,0.339,0.245,0.160,0.066,1,1.78275,1.437701613,0.007198183,41.3,599193.5484,0.599193548
PV_29,control,30,zoox,0,110,112,106,118,115,114,112.5,3.718489007,675,0.1,1125000,33750000,0.133,0.167,0.160,0.034,0.027,1,0.374936667,0.286292138,0.001110923,65.5,515412.8959,0.515412896
PV_30,control,20,zoox,0,101,103,110,102,115,116,107.8333333,6.246193082,647,0.1,1078333.333,21566666.67,0.122,0.227,0.163,0.105,0.040,1,1.170526667,0.893279254,0.005427481,43.7,493753.5331,0.493753533
PV_31,control,27.5,zoox,0,107,109,119,112,114,106,111.1666667,4.385403451,667,0.1,1111666.667,30570833.33,0.108,0.133,0.127,0.025,0.019,1,0.277613333,0.218633751,0.000908099,58.2,525294.336,0.525294336
PV_32,control,27.5,zoox,0,110,112,,,,,111,1.274066272,222,0.1,1110000,30525000,0.148,0.216,0.187,0.068,0.039,1,0.752066667,0.427049174,0.002463773,80.7,378177.5772,0.378177577
