fragment_ID,timepoint,Treatment,Light_Value,Run,micromol.cm2.s,Rd,P
ACR10_1,TP1,initial,315.5,1,-9.734836867604998e-6,-0.539244527031866,0.469153701585112
ACR10_2,TP2,ambient,321.5,1,-6.01505754066705e-5,-0.609466727273406,0.17638258434538
ACR10_3,TP3,ambient,307,1,-5.17321986391175e-5,-0.74220041025889,0.369728580057241
ACR10_4,TP4,ambient,312.5,3,-3.61326516078395e-5,-0.653093399480007,0.392938307903565
ACR10_5,TP5,ambient,328.5,1,-2.9190191720563507e-5,-0.657716749142998,0.447547368754942
ACR11_1,TP1,initial,315.5,1,-3.35167357019482e-5,-0.545950948312931,0.304630451258906
ACR11_2,TP2,ambient,325.5,2,-5.90484990962314e-5,-0.618472817058823,0.193323623565957
ACR11_3,TP3,ambient,315,3,-3.2782236087074e-5,-0.750837869152652,0.514805769325719
ACR11_4,TP4,ambient,307.5,1,-2.3630779766995496e-5,-0.552915331118915,0.382773716796546
ACR11_5,TP5,ambient,329,2,-5.959869686211002e-6,-0.608468795759794,0.565557734019073
ACR12_1,TP1,initial,320.5,3,-4.137436115982945e-6,-0.333698570783814,0.303909030748737
ACR12_2,TP2,ambient,324.5,3,-4.4536999599647e-5,-0.800576686362678,0.47991028924522
ACR12_3,TP3,ambient,315,3,-2.203806531751799e-5,-0.61135265462533,0.452678584339203
ACR12_4,TP4,ambient,307.5,1,-1.3140917985841001e-5,-0.631020296742455,0.536405687244401
ACR12_5,TP5,ambient,324.5,3,-3.812697221720012e-7,-0.507025599796379,0.504280457796741
ACR13_1,TP1,initial,321.5,2,-3.525516764059994e-5,-0.523708354101922,0.269871147089604
ACR13_2,TP2,hot,321.5,1,-3.98793501211711e-5,-0.617397481332934,0.330266160460501
ACR13_3,TP3,hot,315,3,-1.673787587615575e-4,-2.43105950028828,1.22593243720507
ACR13_4,TP4,hot,307.5,1,-5.171537126607365e-5,-0.559927584487252,0.187576911371522
ACR13_5,TP5,hot,324.5,3,1.4720344754474502e-5,-0.22562692195501,0.331613404187227
ACR14_1,TP1,initial,315.5,1,-1.1583587681189453e-5,-0.28514925537512,0.201747424070556
ACR14_2,TP2,hot,324.5,3,-2.3940573096521497e-5,-0.596495796645221,0.424123670350266
ACR14_3,TP3,hot,315,3,-2.0298747869752496e-5,-0.747233073548703,0.601082088886489
ACR14_4,TP4,hot,307.5,1,8.831140837272506e-6,-0.418524416296891,0.482108630325255
ACR14_5,TP5,hot,324.5,3,1.0857103588826517e-6,-0.351959231008801,0.359776345592756
ACR15_1,TP1,initial,320.5,3,-4.432654112341655e-5,-0.591638829077628,0.272487732989029
ACR15_2,TP2,hot,324.5,3,-6.008816260720505e-5,-0.752593865312498,0.319959094540622
ACR15_3,TP3,hot,310.5,2,-4.7816835326186894e-5,-0.640850041547601,0.296568827199055
ACR15_4,TP4,hot,312.5,3,7.01568640487079e-5,0.11940659626812,0.385722824882577
ACR15_5,TP5,hot,329,2,-3.4802672633993104e-5,-0.536765429184048,0.286186186219298
ACR16_1,TP1,initial,315.5,1,-3.2021373282581356e-5,-0.536556813447946,0.30600292581336
ACR16_2,TP2,hot,324.5,3,-6.570581138775464e-5,-0.788374291767775,0.315292449775942
ACR16_3,TP3,hot,315,3,-5.1403423722757906e-5,-0.71676864450824,0.346663993704384
ACR16_4,TP4,hot,305,2,-3.668808046731502e-6,-0.474085097319434,0.447669679382968
ACR16_5,TP5,hot,329,2,-1.186372003203125e-5,-0.415393537489032,0.329974753258406
ACR17_1,TP1,initial,321.5,2,-4.7958806359314346e-5,-0.594236685389461,0.248933279602398
ACR17_2,TP2,hot,325.5,2,-7.083226871506245e-5,-0.661777235031496,0.151784900283046
ACR17_3,TP3,hot,310.5,2,-2.9788743830842996e-5,-0.743120042014448,0.528641086432378
ACR17_4,TP4,hot,307.5,1,-3.59834479004229e-5,-0.550285913963523,0.291205089080479
ACR17_5,TP5,hot,328.5,1,-1.3260697861524053e-5,-0.421098230070955,0.325621205467981
ACR18_1,TP1,initial,321.5,2,-5.117467137881225e-5,-0.444452194334134,0.0759945604066867
ACR18_2,TP2,hot,325.5,2,4.1043694059115e-6,-0.640459454242968,0.67001091396553
ACR18_3,TP3,hot,310.5,2,-2.04054447242815e-5,-0.576039819580639,0.429120617565811
ACR18_4,TP4,hot,305,2,-1.74689682334815e-5,-0.492597045565908,0.366820474284843
ACR18_5,TP5,hot,324.5,3,-5.45631680225035e-6,-0.388390744843947,0.349105263867743
ACR19_1,TP1,initial,320.5,3,-1.873719870056496e-6,-0.406729912210345,0.393239129145937
ACR19_2,TP2,hot,324.5,3,-1.3358410245152495e-5,-0.762625303037585,0.666444749272486
ACR19_3,TP3,hot,307,1,1.104243779921998e-6,-0.442506632531734,0.450457187747175
ACR19_4,TP4,hot,312.5,3,3.1205194142865355e-5,-0.23464351232742,0.459320910156052
ACR19_5,TP5,hot,328.5,1,4.332075452231802e-6,-0.324592644592434,0.355783587848502
ACR1_1,TP1,initial,321.5,2,-5.2569227802584946e-5,-0.652184593413312,0.273686153234699
ACR1_2,TP2,ambient,324.5,3,-5.372670883060749e-5,-0.769525837911028,0.382693534330656
ACR1_3,TP3,ambient,310.5,2,3.1889155459182995e-5,-0.512831790077143,0.742433709383262
ACR1_4,TP4,ambient,305,2,-2.1345090975895992e-5,-0.517838835447596,0.364154180421146
ACR1_5,TP5,ambient,324.5,3,4.4525567524845056e-6,-1.4862989417049,1.51835735032278
