gene_id,12_sorted.bam.gtf,16_sorted.bam.gtf,20_sorted.bam.gtf,248_sorted.bam.gtf,249_sorted.bam.gtf,24_sorted.bam.gtf,250_sorted.bam.gtf,260_sorted.bam.gtf,261_sorted.bam.gtf,262_sorted.bam.gtf,5_sorted.bam.gtf,8_sorted.bam.gtf
FUN_002133,0,18,9,22,0,0,6,0,6,0,20,0
FUN_019695,0,0,0,0,0,0,0,0,0,0,0,0
FUN_041252,0,0,2,0,0,4,10,0,0,0,0,0
FUN_013333,0,0,0,0,0,0,0,0,0,2,0,0
FUN_002131,0,0,0,0,0,0,0,0,0,0,0,0
FUN_041251,0,0,0,0,0,0,0,0,0,0,0,0
FUN_041256,2,6,0,0,0,10,0,0,0,0,2,6
FUN_041257,0,3,0,0,0,0,0,0,0,0,0,0
FUN_032251,0,0,0,0,3,0,0,0,0,0,0,0
FUN_042318,0,5,0,0,0,0,0,0,0,0,0,0
FUN_041255,10,12,6,5,1,5,3,0,4,3,3,6
FUN_039044,0,0,1,0,0,0,0,0,0,0,0,0
FUN_039045,0,0,0,0,0,0,0,0,0,0,0,0
FUN_039046,0,0,0,0,0,0,0,0,0,0,2,0
FUN_039047,0,0,0,0,0,0,0,0,0,0,0,0
FUN_039040,0,0,0,0,0,0,0,0,0,0,0,0
FUN_039041,0,0,0,0,0,0,0,0,0,0,0,0
FUN_039042,0,0,0,0,0,0,0,0,0,0,0,2
FUN_039043,0,0,0,0,0,0,0,0,0,0,0,0
FUN_039048,0,0,0,0,0,0,0,0,0,0,0,0
FUN_039049,0,0,0,0,0,0,0,0,0,3,0,0
FUN_041259,0,0,0,0,0,0,0,0,0,0,0,0
FUN_025431,30,37,43,12,0,16,18,31,47,16,22,25
FUN_020842,0,0,0,0,0,2,0,0,0,0,0,0
FUN_020843,0,3,0,0,0,0,0,0,0,0,0,0
FUN_020840,0,0,0,0,0,0,0,0,0,0,0,0
FUN_020841,0,0,0,0,0,0,0,0,0,0,0,0
FUN_020846,0,0,0,0,0,0,0,0,0,0,0,0
FUN_020847,1,0,0,0,0,0,0,0,0,0,0,0
FUN_020844,0,3,0,0,0,0,0,0,0,0,0,0
FUN_020845,0,0,0,0,0,0,0,0,0,0,0,0
FUN_020848,1,0,0,0,0,0,0,0,0,0,1,0
FUN_020849,6,8,4,5,5,6,1,6,2,3,1,8
FUN_042215,0,0,0,0,0,0,0,0,0,0,0,0
FUN_022992,8,0,4,0,0,6,0,0,0,0,4,8
FUN_022993,5,6,4,9,0,8,0,19,6,17,7,0
FUN_022990,39,45,52,96,26,38,19,99,54,101,40,26
FUN_022991,76,56,67,40,14,41,20,63,69,53,31,36
FUN_022996,13,18,11,26,16,17,19,21,15,35,23,12
FUN_022997,19,38,26,43,0,19,10,44,15,23,19,16
FUN_022994,0,0,0,0,0,0,0,0,0,0,2,0
FUN_022995,0,7,0,0,0,10,0,0,0,4,0,5
FUN_022998,101,101,70,23,27,51,34,77,98,64,46,36
FUN_022999,0,0,0,0,0,0,0,0,0,0,0,0
FUN_027317,0,0,0,0,0,0,0,0,0,0,0,0
FUN_027316,0,0,1,0,0,0,0,0,0,0,0,0
FUN_027315,0,0,0,0,0,0,0,0,0,0,0,0
FUN_027314,0,0,0,0,0,0,0,0,0,0,0,0
FUN_027313,2,5,6,0,0,4,1,0,0,2,3,2
FUN_027312,8,0,0,7,0,0,0,0,0,0,5,0
FUN_027311,7,12,0,11,0,0,0,10,0,10,0,11
FUN_027310,0,0,1,0,0,0,0,0,0,0,0,0
FUN_027319,3,0,0,0,0,5,0,0,5,0,0,0
FUN_027318,0,0,0,0,0,0,0,0,0,0,0,0
FUN_017318,10,3,10,11,0,7,5,4,4,5,16,45
FUN_017319,0,6,4,3,0,2,1,0,0,3,4,0
FUN_012148,0,0,0,0,0,0,0,0,0,0,0,0
FUN_012149,799,937,671,1188,757,435,605,731,676,896,414,376
FUN_012142,21,28,37,272,346,16,258,528,626,454,12,21
FUN_017311,5,0,0,0,0,0,0,0,2,0,0,0
FUN_017312,0,0,0,0,0,9,0,0,0,3,0,0
FUN_017313,0,0,0,0,0,6,0,0,0,0,0,0
FUN_017314,0,0,0,0,0,0,0,11,0,0,0,0
FUN_012147,83,46,165,175,109,84,55,62,79,90,31,75
FUN_017316,0,0,0,0,0,0,0,3,4,6,0,0
FUN_017317,0,0,6,0,0,11,0,0,0,11,6,0
FUN_037528,0,7,0,0,7,0,0,0,0,0,0,0
FUN_011051,21,24,26,0,10,17,0,25,27,52,12,12
FUN_011050,48,71,63,21,14,56,27,66,51,30,53,70
FUN_011053,1,0,0,0,0,1,0,1,0,0,1,0
FUN_002526,0,6,20,10,0,10,0,0,4,7,5,8
FUN_025436,12,0,0,34,35,13,28,79,55,105,8,16
FUN_011055,0,0,0,0,0,0,0,0,0,0,0,0
FUN_011054,5,10,0,94,122,5,114,85,87,57,5,0
FUN_038872,0,0,0,0,0,0,0,0,0,0,0,0
FUN_038873,0,0,3,0,0,0,0,0,0,0,0,0
FUN_038870,8,0,0,0,5,4,0,0,0,0,0,0
FUN_038871,0,3,0,0,0,8,0,0,4,0,0,0
FUN_038876,0,0,0,0,0,0,0,0,0,0,0,0
FUN_038877,10,7,0,0,0,0,0,0,0,0,2,0
FUN_038874,0,0,0,0,0,0,0,0,0,0,0,0
FUN_038875,0,3,0,0,0,0,0,0,0,0,0,0
FUN_038878,0,6,0,0,0,8,0,0,0,7,0,0
FUN_038879,8,1,0,0,0,7,0,0,2,0,0,5
FUN_042501,0,1,0,0,0,1,0,0,0,0,0,0
FUN_027865,20,49,0,11,0,7,11,6,6,0,25,9
FUN_027864,0,0,0,0,0,0,0,0,0,0,0,0
FUN_027867,0,0,0,0,0,0,0,0,0,0,0,0
FUN_027866,24,9,21,3,0,0,0,0,0,0,47,20
FUN_027861,14,0,0,16,3,0,14,14,16,7,10,0
FUN_027860,0,6,0,0,2,0,3,17,16,10,0,0
FUN_027863,0,2,0,0,0,0,0,0,0,0,0,0
FUN_027862,0,2,0,2,0,11,0,0,0,0,0,0
FUN_027869,23,0,2,4,0,4,0,0,0,5,11,10
FUN_027868,166,52,118,7,6,22,0,0,9,0,421,172
FUN_023348,7,0,12,4,5,43,0,7,5,4,0,4
FUN_014668,58,100,59,138,62,51,37,162,161,92,57,64
FUN_000313,16,0,324,9,0,219,10,0,3,0,150,461
FUN_026198,16,14,12,61,15,14,17,54,52,60,10,16
FUN_030143,0,0,0,0,0,0,0,3,0,0,0,0
FUN_026196,0,0,0,0,0,0,0,0,0,0,0,0
FUN_023341,107,146,86,40,31,73,19,93,67,60,83,110
FUN_026194,4,0,0,0,0,0,0,0,0,0,0,0
FUN_023343,0,0,43,8,0,27,13,12,30,19,7,21
FUN_014665,38,44,44,0,0,28,7,147,86,14,25,13
FUN_014664,139,165,182,107,49,121,75,127,131,155,114,165
FUN_023346,0,0,0,0,0,0,0,0,0,0,0,0
FUN_023347,0,8,12,33,4,0,3,8,8,6,0,0
FUN_014237,2,7,2,5,0,0,0,0,0,0,1,0
FUN_035313,28,9,34,27,4,45,1,12,11,20,34,25
FUN_005144,0,0,0,0,0,3,0,0,0,0,0,0
FUN_035314,0,0,0,9,8,13,0,28,28,34,6,7
FUN_005145,0,0,0,0,0,0,0,0,0,2,0,0
FUN_042509,0,1,1,0,0,0,0,0,0,0,0,0
FUN_035315,0,7,0,2,0,0,0,0,4,0,2,5
FUN_003961,0,4,0,0,0,0,0,0,0,3,0,0
FUN_030144,0,0,0,0,0,0,0,0,0,0,0,0
FUN_044274,7,9,9,9,1,5,2,8,14,7,4,3
FUN_022534,32,51,16,3,0,27,7,17,41,42,30,13
FUN_030148,0,0,0,0,0,0,0,0,0,0,0,0
FUN_044278,0,0,5,2,1,1,0,0,0,0,3,2
FUN_009548,0,0,0,0,0,0,0,0,0,0,0,0
FUN_009549,4,8,0,0,0,0,0,0,0,8,10,12
FUN_009542,0,0,0,0,0,0,0,0,0,0,0,0
FUN_009543,0,0,0,2,0,0,0,3,0,0,0,0
FUN_009540,0,0,0,0,0,0,0,0,0,0,0,0
FUN_009541,6,10,12,0,0,0,0,0,0,0,8,0
FUN_009546,0,0,0,0,0,0,0,0,0,0,0,0
FUN_009547,0,0,0,0,0,0,0,0,0,0,0,2
FUN_009544,9,8,0,0,0,17,0,12,14,14,22,0
FUN_009545,0,0,14,0,0,6,0,0,0,0,5,15
FUN_041748,0,0,0,0,0,0,0,0,0,0,0,0
FUN_026738,0,6,8,13,11,0,0,11,7,10,13,10
FUN_026739,144,125,167,290,92,191,84,239,319,245,71,108
FUN_019318,0,0,0,0,0,0,0,0,0,0,0,0
FUN_019319,0,0,0,0,0,0,0,0,0,0,0,0
FUN_029461,0,0,0,0,0,0,0,0,0,0,0,0
FUN_026733,0,3,13,0,25,4,7,0,6,0,4,7
FUN_026730,0,0,0,7,0,0,0,5,7,0,0,0
FUN_026731,7,0,0,10,7,0,9,14,0,6,0,0
FUN_026736,6,0,9,0,0,0,0,11,0,0,0,0
FUN_019313,0,0,0,0,0,0,0,0,0,0,0,0
FUN_019310,0,2,0,0,0,0,0,0,0,0,0,4
FUN_019311,0,35,7,5,7,8,7,9,13,20,11,11
FUN_022439,0,0,0,1,0,0,0,1,1,0,0,0
FUN_022438,0,1,0,0,0,0,0,0,0,0,0,0
FUN_039837,0,21,15,9,9,6,6,24,11,24,10,13
FUN_039836,25,54,80,25,10,27,8,80,62,71,24,68
FUN_039831,11,5,4,27,17,18,4,8,8,33,0,29
FUN_039830,48,61,55,41,25,37,15,50,26,75,34,52
FUN_025429,13,11,16,40,3,16,10,34,24,88,0,9
FUN_039832,36,28,48,307,69,14,66,17,62,15,22,46
FUN_025427,22,11,16,39,0,15,17,52,45,45,30,29
FUN_022430,52,76,58,109,55,49,45,187,219,270,83,54
FUN_022433,168,246,117,111,79,112,139,206,206,177,123,132
FUN_022432,0,0,0,0,0,0,0,0,0,0,0,0
FUN_039839,0,2,0,0,0,0,0,2,3,1,0,0
FUN_022434,19,20,33,20,13,23,0,41,45,37,11,36
FUN_022437,25,19,16,15,12,38,0,34,44,58,9,16
FUN_025420,0,0,0,0,0,0,0,0,0,0,0,0
FUN_024778,128,268,266,110,170,197,98,433,357,250,130,197
FUN_024779,9,27,32,8,11,46,13,18,34,20,8,37
FUN_024774,0,0,9,19,0,6,8,19,17,20,4,0
FUN_024775,107,120,146,30,26,138,14,85,56,70,125,127
FUN_024776,38,52,68,140,44,84,100,183,164,155,18,25
FUN_033900,2,1,0,3,1,1,1,5,1,4,0,1
FUN_024770,30,52,55,178,37,32,80,105,174,93,48,40
FUN_024771,14,1,1,34,13,6,20,13,18,10,2,0
FUN_024772,15,0,17,81,29,22,29,70,105,36,0,8
FUN_024773,0,5,4,38,0,6,7,24,30,23,0,0
FUN_009064,0,0,0,0,0,0,0,0,0,0,0,0
FUN_018807,0,6,4,0,0,0,0,0,0,5,11,0
FUN_018806,44,42,67,63,9,45,18,100,89,104,49,57
FUN_009062,13,7,0,11,0,12,0,0,0,0,9,5
FUN_018959,0,0,0,0,0,0,0,0,0,0,0,0
FUN_018958,0,0,0,0,0,0,0,0,2,0,5,0
FUN_018957,0,0,0,0,0,0,0,0,0,0,0,0
FUN_018956,0,0,0,0,0,0,0,0,0,0,0,0
FUN_018955,0,0,0,0,0,0,0,0,0,10,0,0
FUN_018954,0,0,0,0,0,0,0,0,0,0,0,0
FUN_018953,0,0,0,0,0,0,0,0,0,0,0,0
FUN_018952,0,0,0,0,0,0,0,0,0,0,0,0
FUN_018951,0,0,0,0,0,0,0,4,0,0,0,0
FUN_018950,0,0,0,0,0,0,0,0,0,0,0,0
FUN_030689,5,4,0,0,0,2,0,0,3,0,2,0
FUN_030688,5,0,0,0,0,0,0,0,0,0,0,0
FUN_030681,70,120,104,109,77,121,63,107,140,184,76,124
FUN_030680,0,7,0,0,6,3,6,0,7,22,0,7
FUN_030683,6,0,8,0,1,2,0,3,1,0,0,3
FUN_030682,0,0,0,0,0,0,0,0,0,0,0,0
FUN_030685,2,0,0,0,0,0,0,0,0,0,0,0
FUN_030684,0,0,0,0,0,0,0,0,0,1,0,0
FUN_030687,2,0,0,0,0,0,0,0,0,0,0,0
FUN_030686,27,28,7,10,13,18,18,13,22,14,4,22
FUN_038058,80,82,98,343,358,70,229,114,65,83,56,88
FUN_038059,14,1,18,20,8,2,3,15,7,6,10,22
FUN_038054,39,57,32,55,41,35,36,154,112,78,41,44
FUN_038055,17,21,24,33,11,25,14,24,22,38,26,21
FUN_038056,34,32,30,27,22,19,9,23,19,31,19,37
FUN_038057,130,102,80,173,195,46,226,312,343,327,89,81
FUN_038050,10,9,6,30,26,14,29,41,7,10,11,16
FUN_038051,12,0,14,39,0,18,13,18,16,28,0,21
FUN_038052,1027,1012,908,1644,1273,986,1061,1753,2325,2083,490,624
FUN_038053,70,74,82,282,75,48,83,42,81,59,46,77
FUN_036900,60,66,81,297,18,77,68,90,102,113,44,82
FUN_036901,3,4,3,3,0,4,0,0,2,2,5,0
FUN_036902,0,0,6,0,0,0,0,0,6,0,0,0
FUN_036903,0,0,0,0,0,2,0,0,0,0,0,0
FUN_036904,0,0,0,25,0,0,0,0,0,1,0,0
FUN_000604,0,0,18,0,0,0,0,8,0,0,0,7
FUN_036906,0,0,0,0,0,0,0,0,0,0,0,0
FUN_036907,72,77,50,64,14,41,14,31,53,68,51,52
FUN_036908,0,3,0,6,4,6,4,18,4,22,0,0
FUN_036909,0,13,2,0,0,1,0,13,2,0,0,4
FUN_029288,12,13,19,0,12,7,5,0,0,0,11,6
FUN_000608,220,369,283,270,73,341,90,158,196,202,153,168
FUN_030533,2,0,0,0,0,4,0,0,0,0,3,2
FUN_030532,0,0,0,0,0,2,0,0,0,0,1,0
FUN_021858,0,0,0,0,0,0,0,0,0,0,0,0
FUN_021859,0,0,0,0,0,0,0,1,0,0,0,1
FUN_030537,0,0,0,0,0,0,0,0,0,0,0,3
FUN_030536,1,0,0,0,0,0,0,0,0,0,0,1
FUN_030535,0,0,0,0,0,0,0,3,0,0,0,0
FUN_030534,0,0,0,0,0,3,0,1,4,0,0,0
FUN_021852,0,0,0,0,0,0,0,0,0,0,0,0
FUN_021853,1,0,0,0,0,1,0,0,0,0,0,1
FUN_021850,0,1,0,0,0,1,0,0,0,1,1,1
FUN_021851,0,0,0,0,0,0,0,0,0,0,0,0
FUN_021856,1,0,0,0,0,1,0,0,0,0,0,3
FUN_021857,0,1,0,0,0,0,0,0,0,1,1,0
FUN_021854,1,0,0,0,0,0,0,0,0,0,0,0
FUN_021855,1,1,0,0,0,0,0,0,0,1,1,0
FUN_004880,68,90,140,75,31,92,30,91,73,60,50,75
FUN_004881,20,43,34,16,12,37,20,37,54,50,14,19
FUN_004882,12,5,15,13,4,14,0,19,21,6,20,28
FUN_004883,9,0,4,0,0,8,0,0,0,0,10,0
FUN_004884,0,0,0,0,0,0,0,0,0,0,0,0
FUN_004885,0,0,0,0,0,0,0,0,0,0,0,52
FUN_004886,0,0,0,0,0,0,0,3,0,0,0,11
FUN_004887,461,354,316,96,28,461,78,99,140,92,389,621
FUN_004888,9,1,0,0,0,0,0,1,1,1,5,28
FUN_004889,29,18,16,6,11,9,4,19,12,3,23,23
FUN_031484,0,0,0,0,0,0,0,0,0,0,0,0
FUN_031485,0,0,0,0,0,0,0,0,0,0,4,5
FUN_031486,3,4,0,0,0,0,0,0,0,0,0,0
FUN_031487,0,0,0,0,0,0,0,0,0,0,0,0
FUN_031480,0,6,0,0,0,0,0,0,0,0,0,0
FUN_031481,0,0,0,0,0,0,0,0,0,0,0,0
FUN_031482,3,0,0,0,0,0,0,0,0,0,6,0
FUN_031483,0,0,0,0,0,0,0,0,0,0,0,0
FUN_020107,3,0,0,0,0,0,0,0,0,0,0,0
FUN_020106,0,0,0,0,0,0,0,0,0,0,0,0
FUN_020105,0,0,0,0,0,0,0,0,0,0,0,0
FUN_020104,0,0,0,0,0,0,0,0,0,0,0,0
FUN_020103,4,17,36,12,0,10,0,1,11,7,11,4
FUN_031489,8,0,7,8,3,5,0,11,3,0,3,7
FUN_020101,0,0,0,0,0,0,0,5,0,0,0,0
FUN_020100,0,0,0,0,0,0,0,0,0,0,0,0
FUN_040297,0,0,0,0,0,0,0,0,0,0,0,0
FUN_030493,1,0,0,0,0,1,0,0,0,0,0,0
FUN_001638,6,8,5,0,5,10,0,0,7,0,3,0
FUN_001639,55,75,46,55,18,30,0,42,116,80,32,78
FUN_001630,43,38,24,135,107,36,36,467,459,721,12,10
FUN_001631,95,155,133,25,18,119,14,84,68,100,59,106
FUN_001632,13,12,13,9,4,2,0,6,10,8,7,7
FUN_001633,7,7,10,8,7,13,0,0,0,7,4,18
FUN_001634,22,28,46,3,0,11,2,0,0,1,27,19
FUN_001635,0,3,5,24,26,4,13,2,2,5,1,2
FUN_001636,7,0,10,37,15,0,0,28,17,65,10,0
FUN_001637,1,0,4,14,1,2,4,11,4,7,0,4
FUN_007289,1,0,0,0,0,0,0,0,0,0,0,0
FUN_007288,0,1,1,0,0,0,0,0,0,0,0,0
FUN_007287,0,1,0,0,0,0,0,0,1,0,0,1
FUN_007286,1,0,0,0,0,0,0,0,0,0,0,0
