gene_id,12_sorted.bam.gtf,16_sorted.bam.gtf,20_sorted.bam.gtf,248_sorted.bam.gtf,249_sorted.bam.gtf,24_sorted.bam.gtf,250_sorted.bam.gtf,260_sorted.bam.gtf,261_sorted.bam.gtf,262_sorted.bam.gtf,5_sorted.bam.gtf,8_sorted.bam.gtf
FUN_035039,0,25,13,27,23,8,13,62,89,36,12,27
FUN_035038,70,36,26,54,12,26,8,24,15,76,24,28
FUN_035031,8,9,14,21,18,12,16,14,0,13,0,13
FUN_035030,13,12,10,3,0,18,0,14,13,24,23,13
FUN_035033,9,19,31,0,0,13,0,22,27,24,17,21
FUN_035032,73,65,82,123,46,99,42,144,156,160,90,66
FUN_035035,17,24,26,6,0,0,0,18,39,31,31,39
FUN_035034,26,19,24,15,0,21,0,12,21,23,25,11
FUN_035037,85,80,76,287,96,53,85,134,180,183,66,71
FUN_035036,65,95,108,76,55,65,45,100,51,56,50,58
FUN_028149,41,51,51,20,41,36,22,65,65,44,30,66
FUN_028148,49,59,113,92,55,37,48,154,132,106,56,62
FUN_003348,0,0,0,0,0,0,1,0,0,0,1,0
FUN_003349,0,0,0,0,0,0,0,1,0,0,0,1
FUN_003346,3,2,0,0,0,0,0,0,0,4,0,0
FUN_028142,0,17,6,19,0,0,0,13,21,17,19,7
FUN_003344,4,14,7,2,0,7,0,0,0,0,0,6
FUN_003345,1,0,0,0,0,0,0,0,0,0,0,0
FUN_003342,0,5,0,0,0,1,0,2,0,0,0,0
FUN_028146,4,0,9,0,0,0,0,0,1,0,0,0
FUN_028145,43,67,58,35,12,71,20,53,31,92,103,41
FUN_028144,27,12,18,42,0,40,0,37,48,77,21,13
FUN_009374,0,0,0,0,0,0,0,0,0,0,0,0
FUN_010337,0,0,0,0,0,0,0,0,1,0,0,0
FUN_013332,0,0,0,0,0,0,0,0,0,0,2,6
FUN_041253,0,0,0,0,0,0,0,0,0,0,0,0
FUN_041250,0,0,0,0,0,0,0,0,0,0,0,0
FUN_013331,0,0,14,0,0,4,0,0,0,0,10,15
FUN_013336,0,0,0,0,0,0,0,0,0,0,0,0
FUN_013337,14,8,21,9,0,0,0,10,9,0,27,0
FUN_041254,22,26,11,15,6,21,6,16,14,19,13,14
FUN_013335,0,0,0,0,0,0,0,0,0,0,0,0
FUN_013338,0,0,0,0,0,0,0,0,0,0,0,0
FUN_013339,0,0,0,0,0,0,0,0,0,0,0,0
FUN_009376,5,16,8,6,0,0,0,4,0,0,0,14
FUN_010827,61,56,53,127,85,87,40,148,159,205,46,56
FUN_010826,4,27,3,0,0,0,0,4,0,6,0,14
FUN_010825,340,346,292,0,0,186,7,15,25,9,269,852
FUN_010824,0,0,0,0,0,0,0,0,0,0,0,3
FUN_010823,2,0,6,0,0,2,0,0,2,0,0,0
FUN_010822,0,0,3,0,0,2,0,0,5,3,2,0
FUN_010821,5,3,2,0,0,0,0,0,13,10,0,6
FUN_010820,0,0,4,0,0,2,0,0,4,3,1,0
FUN_032950,0,8,0,8,0,0,0,0,4,0,6,23
FUN_010829,23,6,34,18,0,20,27,24,42,50,17,38
FUN_010828,41,38,45,84,8,48,10,56,51,55,12,34
FUN_042503,5,2,2,0,0,0,0,2,1,0,0,2
FUN_042502,2,0,0,0,0,0,0,0,0,0,0,2
FUN_003968,0,0,0,0,0,0,0,0,0,0,0,2
FUN_003969,0,21,12,37,0,17,0,0,10,6,0,23
FUN_042507,0,0,0,0,0,0,0,0,0,1,0,0
FUN_042506,0,0,0,0,0,0,0,0,0,0,0,0
FUN_042505,6,3,0,0,0,6,0,0,0,2,0,6
FUN_042504,3,6,5,6,0,3,4,0,0,0,0,9
FUN_003962,0,0,0,0,0,0,0,0,0,5,0,0
FUN_003963,11,0,12,0,0,0,0,0,0,0,11,0
FUN_003960,0,0,0,0,0,0,0,0,0,0,0,0
FUN_042508,0,0,0,0,0,0,1,0,0,1,0,0
FUN_003966,15,0,16,0,0,9,0,0,0,0,8,6
FUN_003967,3,0,0,0,0,0,0,0,0,0,4,0
FUN_003964,0,0,0,0,0,0,0,0,0,0,0,0
FUN_003965,0,0,0,0,0,0,0,0,0,0,0,0
FUN_028143,15,27,40,33,15,17,10,37,28,20,31,13
FUN_003347,8,7,0,0,0,0,0,0,0,0,0,0
FUN_028141,29,24,56,24,6,28,16,23,18,41,19,22
FUN_028140,75,90,65,61,34,29,26,84,103,110,61,111
FUN_009069,4,12,0,0,0,0,4,0,0,4,0,9
FUN_009068,2,13,13,29,11,2,5,17,16,1,10,9
FUN_009065,0,0,0,0,0,5,0,0,0,0,0,0
FUN_028147,0,0,0,0,0,0,0,0,0,0,0,0
FUN_009067,5,0,0,0,0,0,0,0,0,0,0,0
FUN_009066,1,0,1,0,0,0,0,0,0,1,2,0
FUN_009061,38,19,0,0,8,32,0,4,5,11,12,15
FUN_009060,0,0,0,0,0,0,0,0,0,0,0,0
FUN_009063,0,0,0,0,0,0,0,0,0,0,4,0
FUN_003343,0,0,0,0,0,0,0,0,0,0,0,0
FUN_003340,0,4,0,0,0,0,0,0,0,0,0,2
FUN_003341,0,0,0,0,0,0,0,0,0,0,0,0
FUN_022170,185,282,229,81,84,142,102,170,205,131,137,203
FUN_022171,2,3,0,0,0,0,8,2,1,7,4,0
FUN_022172,32,10,17,0,0,9,0,0,0,0,5,13
FUN_022173,0,2,4,0,0,2,0,0,0,0,0,0
FUN_022174,19,15,18,19,9,5,11,16,7,8,8,0
FUN_022175,11,7,5,32,24,13,19,30,63,75,3,10
FUN_022176,17,17,2,0,0,10,0,0,2,0,8,13
FUN_022177,0,0,4,0,0,3,3,0,6,0,9,0
FUN_022178,3,0,0,9,8,4,2,7,6,6,0,0
FUN_022179,3,5,2,3,0,0,6,11,9,0,3,15
FUN_010175,0,0,0,0,0,0,0,0,0,0,0,0
FUN_040614,0,16,0,13,0,0,0,11,0,9,0,0
FUN_010177,0,0,5,0,0,0,0,0,0,0,0,0
FUN_040616,20,12,23,27,27,14,30,67,40,50,19,11
FUN_010171,0,0,0,0,0,0,0,0,0,0,0,0
FUN_010170,0,0,0,0,0,0,0,0,0,0,0,0
FUN_010173,0,0,0,0,0,4,0,0,0,0,0,0
FUN_010172,0,0,0,0,0,0,0,2,0,0,0,0
FUN_009031,4,0,0,0,0,0,4,0,0,5,1,0
FUN_010179,0,0,0,2,0,0,0,0,0,0,0,0
FUN_010178,0,0,0,0,0,0,0,0,0,0,0,0
FUN_011888,0,0,0,0,0,0,0,0,0,0,0,0
FUN_011889,2,0,0,0,0,0,0,0,0,0,0,0
FUN_011886,0,0,10,0,0,0,0,0,0,2,0,0
FUN_011887,22,42,8,8,0,0,0,0,12,6,0,6
FUN_011884,44,46,29,33,32,74,33,51,104,65,37,78
FUN_011885,0,1,0,1,2,2,0,1,4,0,1,2
FUN_011882,47,24,51,121,58,68,69,121,139,137,37,69
FUN_011883,13,7,18,36,0,8,0,30,11,33,0,30
FUN_011880,0,14,0,6,0,4,0,0,7,4,0,3
FUN_011881,0,30,14,0,0,16,8,0,6,8,0,8
FUN_009933,1,0,1,3,1,2,1,3,2,3,0,0
FUN_009932,13,25,20,2,0,36,0,7,2,0,15,22
FUN_009931,4,5,0,0,0,4,3,0,0,7,0,0
FUN_009930,0,0,0,0,0,4,0,0,0,1,0,0
FUN_009937,4,2,0,4,3,1,1,5,4,5,0,0
FUN_009936,2,1,0,4,2,1,2,7,2,5,0,1
FUN_009935,1,1,0,2,1,1,1,3,2,3,0,0
FUN_009934,1,0,0,1,1,2,0,1,2,2,0,0
FUN_009939,1,0,0,0,1,1,1,1,1,1,0,0
FUN_009938,3,0,0,5,2,1,2,6,3,6,0,0
FUN_032359,21,30,16,6,0,40,0,15,12,15,10,34
FUN_032358,46,54,90,202,114,129,100,159,119,108,94,67
FUN_024435,0,0,0,0,0,0,0,0,10,0,0,0
FUN_008087,47,22,34,96,46,26,29,94,80,87,36,40
FUN_024433,0,16,0,0,0,0,0,0,0,0,0,0
FUN_024432,0,54,14,0,0,0,0,0,0,0,77,6
FUN_024431,22,16,17,4,0,29,0,0,3,11,8,14
FUN_008083,7,0,0,0,0,5,0,0,0,4,0,0
FUN_032351,0,0,0,0,0,1,0,0,0,0,0,0
FUN_032350,74,75,67,34,17,31,15,47,51,55,52,29
FUN_032353,123,105,86,323,93,149,123,205,197,208,109,100
FUN_032352,15,3,9,13,31,13,15,0,9,15,0,13
FUN_032355,22,39,46,0,5,13,7,15,27,37,39,22
FUN_008089,0,0,0,0,0,0,0,0,0,0,6,0
FUN_024439,84,109,102,99,32,63,24,65,95,50,74,122
FUN_024438,500,496,549,210,21,457,51,328,329,256,389,453
FUN_038717,4,8,6,29,17,11,2,9,12,13,3,10
FUN_038716,2,0,0,2,0,0,0,0,0,0,1,0
FUN_038715,0,5,11,10,0,5,0,0,8,6,0,14
FUN_038714,6,23,0,7,0,0,0,0,12,0,12,0
FUN_038713,0,0,0,0,0,0,0,0,0,0,0,0
FUN_038712,0,0,0,0,0,0,3,0,0,0,0,0
FUN_038711,16,0,7,0,0,11,0,0,8,3,19,0
FUN_038710,0,0,0,0,0,0,0,0,0,0,0,0
FUN_038719,20,19,38,4,0,30,0,15,10,10,20,24
FUN_038718,9,13,0,4,6,6,0,2,15,0,8,7
FUN_028925,1,2,1,0,0,0,0,0,0,0,0,0
FUN_028924,16,43,20,5,14,10,10,4,12,10,43,12
FUN_028927,7,6,7,8,9,0,0,9,6,17,0,9
FUN_028926,0,3,0,0,0,3,0,0,0,0,0,0
FUN_028921,3,6,0,0,0,3,2,5,0,0,2,0
FUN_028920,24,21,23,32,15,24,15,115,94,143,10,20
FUN_028923,10,11,16,0,0,22,0,0,0,0,10,19
FUN_028922,0,0,0,19,11,0,14,38,66,39,0,0
FUN_028929,0,0,8,4,0,2,4,2,1,2,0,0
FUN_028928,11,28,14,0,5,29,6,4,0,0,12,0
FUN_011228,0,0,0,0,0,0,0,0,0,0,0,0
FUN_011229,0,0,0,0,0,0,0,0,0,0,0,0
FUN_003938,48,75,86,149,57,74,66,368,190,153,52,46
FUN_011222,0,0,0,0,0,0,0,0,0,0,0,0
FUN_011223,1,1,0,1,0,0,0,0,0,0,0,0
FUN_011220,16,0,0,0,0,0,0,0,2,3,0,0
FUN_011221,4,9,16,0,0,0,0,2,2,0,0,3
FUN_011226,0,0,0,0,0,0,0,0,0,0,0,0
FUN_011227,0,0,5,0,0,0,0,0,0,0,0,0
FUN_011224,0,0,0,0,0,0,0,0,0,0,0,0
FUN_011225,0,3,0,0,0,0,0,0,0,0,0,0
